SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,AVAILABLE_FLAG,TEAM_NAME,MATCHUP,PTS,SEASON,PACE_ROLL_MEAN_10,OFF_RATING_ROLL_MEAN_10,DEF_RATING_ROLL_MEAN_10,PTS_ROLL_MEAN_MU,PTS_ROLL_VAR_SIGMA2,TRUE_MARKET_LINE,OPP_TEAM_ID,OPP_DEF_RATING_ROLL_MEAN_10,OPP_PACE_ROLL_MEAN_10,XGB_WF_ADJUSTED_MU,XGB_WF_ADJUSTED_SIGMA2,n_param_XGB_WF,p_param_XGB_WF,PROB_OVER_XGB_WF,PROB_UNDER_XGB_WF,PROJECTED_SCORE_25TH_XGB_WF,PROJECTED_SCORE_75TH_XGB_WF,ACTUAL_SCORE_PROB_XGB_WF,LOG_LIKELIHOOD_XGB_WF,ODDS_OVER,ODDS_UNDER,IMPLIED_PROB_OVER,IMPLIED_PROB_UNDER,B_ODDS_OVER,B_ODDS_UNDER,EDGE_OVER_XGB_WF,EDGE_UNDER_XGB_WF,BET_PLACED_XGB_WF,BET_RESULT_XGB_WF,PNL_XGB_WF,CUM_PNL_XGB_WF,BANKROLL_XGB_WF
2022-23,1610612751,BKN,22200006,2022-10-19,L,48.0,101.4,105.9,123.8,127.5,-22.5,-21.6,0.55,1.38,16.2,0.226,0.571,0.404,0.157,0.506,0.542,105.8,102.0,85.0,102,0.392,1,1396,1396,1396,173,2101,2477,2621,1998,2184,2014,2088,2725,2716,1864,1982,2042,817,2564,1.0,Brooklyn Nets,BKN vs. NOP,108,2022-23,101.09201686194682,106.67314854487658,108.44219449568024,107.61824368534153,159.26093745901318,117.75,1610612740,108.82982770566812,102.39160280154664,111.27771,164.67646933997474,231.8916892381228,0.6757353397661481,0.3070002533816298,0.6929997466183702,102.0,120.0,0.0306501152780277,3.4851188228704824,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.21680927042789405,0.16919022280884632,UNDER,WIN,100.0,290.0,10290.0
2022-23,1610612740,NOP,22200006,2022-10-19,W,48.0,123.8,127.5,101.4,105.9,22.5,21.6,0.62,2.38,19.7,0.429,0.774,0.596,0.127,0.549,0.575,105.8,102.0,85.0,102,0.608,1,1,1,1,173,313,684,170,1217,585,760,64,694,75,1034,1240,1447,817,227,1.0,New Orleans Pelicans,NOP @ BKN,130,2022-23,102.39160280154664,109.7157236731853,108.82982770566812,112.22723055393014,89.39029513600303,114.75,1610612751,108.44219449568024,101.09201686194682,112.45705,89.57334621844001,1264388.588863463,0.9999110660735658,0.4177126149228192,0.5822873850771808,105.0,120.0,0.0095088919378228,4.655527819524611,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.10609690888670464,0.05847786126765697,UNDER,LOSS,-110.0,180.0,10180.0
2022-23,1610612741,CHI,22200007,2022-10-19,W,48.0,107.1,110.5,104.5,102.9,2.6,7.6,0.561,1.53,15.9,0.304,0.804,0.529,0.143,0.511,0.551,105.8,105.0,87.5,105,0.522,1,1,1,1,173,1693,450,826,1892,1846,2144,1034,388,798,1468,1906,1890,353,1124,1.0,Chicago Bulls,CHI @ MIA,116,2022-23,103.6713234295256,110.02482011404126,107.70661662347544,114.04340338008576,254.1999807784472,104.25,1610612748,103.0381704239705,100.40287964647936,108.59656,242.05909364955883,88.36346337073991,0.4486365539086427,0.590461475796348,0.4095385242036519,98.0,119.0,0.0218055509947032,3.825590662956084,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,0.06665195198682416,-0.11427099960587195,OVER,WIN,100.0,280.0,10280.0
2022-23,1610612748,MIA,22200007,2022-10-19,L,48.0,104.5,102.9,107.1,110.5,-2.6,-7.6,0.568,1.11,15.6,0.196,0.696,0.471,0.181,0.538,0.585,105.8,105.0,87.5,105,0.478,1,1396,1396,1396,173,2337,1095,1965,1831,2575,2224,2391,1749,1984,2363,1460,1246,353,1667,1.0,Miami Heat,MIA vs. CHI,108,2022-23,100.40287964647936,108.92677815217728,103.0381704239705,109.521610548393,142.42055572609527,111.75,1610612741,107.70661662347544,103.6713234295256,111.41273,144.87974077028545,370.89643299701015,0.7690014267254098,0.4882598794736688,0.5117401205263312,103.0,119.0,0.0324091330176778,3.4293149817883144,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.03554964433585506,-0.012069403283192615,NO BET,NO BET,0.0,280.0,10280.0
2022-23,1610612739,CLE,22200008,2022-10-19,L,48.0,107.0,106.1,106.8,109.1,0.2,-3.0,0.658,1.47,18.9,0.195,0.679,0.468,0.172,0.558,0.603,99.6,99.0,82.5,99,0.521,1,1396,1396,1396,173,2083,963,1569,806,1986,1036,2404,1973,2042,2202,1099,965,1529,1136,1.0,Cleveland Cavaliers,CLE @ TOR,105,2022-23,99.02863427567998,108.8376885647698,112.55497840311162,107.93674741068124,75.37113970286013,107.0,1610612761,109.8278120642042,101.13925171811388,110.63509,77.255367634367,1223750.9809305873,0.9999096016307286,0.6116149454601837,0.3883850545398163,103.0,118.0,0.0336160412923927,3.392751876777216,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,0.08780542165065985,-0.13542446926970753,OVER,LOSS,-110.0,170.0,10170.0
2022-23,1610612761,TOR,22200008,2022-10-19,W,48.0,106.8,109.1,107.0,106.1,-0.2,3.0,0.528,1.46,14.1,0.321,0.805,0.532,0.131,0.494,0.54,99.6,99.0,82.5,99,0.479,1,1,1,1,173,1817,700,1221,2198,2031,2533,809,378,741,1153,2158,2086,1529,1654,1.0,Toronto Raptors,TOR vs. CLE,108,2022-23,101.13925171811388,107.15912435633255,109.8278120642042,111.90829887660472,246.69729690820463,109.5,1610612739,112.55497840311162,99.02863427567998,110.73458,244.1098835352568,91.93716698121456,0.4536259629883398,0.517078274812167,0.4829217251878331,100.0,121.0,0.0255983116475435,3.6652288418742542,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.006731248997356887,-0.04088779862169073,NO BET,NO BET,0.0,170.0,10170.0
2022-23,1610612763,MEM,22200009,2022-10-19,W,53.0,102.6,107.5,101.0,105.7,1.6,1.8,0.643,1.93,16.8,0.4,0.676,0.536,0.131,0.468,0.487,101.0,96.45,80.38,107,0.529,1,1,1,1,21,1959,666,1321,937,1121,1849,138,2002,660,1139,2453,2623,2147,1027,1.0,Memphis Grizzlies,MEM vs. NYK,115,2022-23,104.42605874625104,107.341321345348,103.63277818374948,112.17759311341368,123.2062423291015,115.75,1610612752,102.16611658330228,99.6105814369204,107.57028,118.14596713567104,1094.1480449443911,0.9104862788832668,0.2301840915515998,0.7698159084484002,100.0,115.0,0.028154307613633,3.5700548770099223,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.29362543225792404,0.24600638463887636,UNDER,WIN,100.0,270.0,10270.0
2022-23,1610612752,NYK,22200009,2022-10-19,L,53.0,101.0,105.7,102.6,107.5,-1.6,-1.8,0.636,2.33,18.1,0.324,0.6,0.464,0.113,0.445,0.479,101.0,96.45,80.38,106,0.471,1,1396,1396,1396,21,2122,830,1470,1012,626,1367,788,2637,2131,684,2608,2660,2147,1764,1.0,New York Knicks,NYK @ MEM,112,2022-23,99.6105814369204,110.67466841356004,102.16611658330228,110.1753986067853,116.35094074854408,111.25,1610612763,103.63277818374948,104.42605874625104,109.82543,115.98135765690948,1959.351903655278,0.9469231438780948,0.4316133575662572,0.5683866424337428,102.0,117.0,0.0359015874204979,3.3269737387703957,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.09219616624326665,0.04457711862421898,UNDER,LOSS,-110.0,160.0,10160.0
2022-23,1610612750,MIN,22200010,2022-10-19,W,48.0,106.0,109.5,101.2,100.9,4.7,8.6,0.641,1.79,16.9,0.3,0.683,0.496,0.133,0.468,0.53,107.6,106.0,88.33,105,0.548,1,1,1,1,173,1785,347,734,960,1385,1797,1063,1939,1462,1217,2445,2231,245,793,1.0,Minnesota Timberwolves,MIN vs. OKC,115,2022-23,106.7830322884224,105.77057897714134,105.86997232870448,112.81460802469412,97.80070555439244,118.75,1610612760,106.97281727240146,100.48776837493482,108.49816,94.05871202183646,1176933.638443936,0.9999078213480695,0.1680902441827634,0.8319097558172366,101.0,115.0,0.0307091261542412,3.4831953671332174,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,-0.3557192796267604,0.30810023200771275,UNDER,WIN,100.0,260.0,10260.0
2022-23,1610612760,OKC,22200010,2022-10-19,L,48.0,101.2,100.9,106.0,109.5,-4.7,-8.6,0.579,1.57,14.8,0.317,0.7,0.504,0.131,0.455,0.497,107.6,106.0,88.33,107,0.452,1,1396,1396,1396,173,2443,999,2057,1694,1765,2427,851,1705,1327,1139,2542,2553,245,1998,1.0,Oklahoma City Thunder,OKC @ MIN,108,2022-23,100.48776837493482,115.25975262814914,106.97281727240146,115.60645161885398,267.8919841552437,107.75,1610612750,105.86997232870448,106.7830322884224,114.95489,266.3821304092683,87.26716351094723,0.4315412869981952,0.6654595053181989,0.3345404946818011,104.0,126.0,0.0233356386003487,3.757773490470292,-110,-110,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.9090909090909091,0.14164998150867503,-0.18926902912772275,OVER,WIN,100.0,360.0,10360.0
